ano_eleicao,sigla_uf,codigo_municipio,nome_municipio,total_votos_municipio,enpv,codmun,regiao,qtd_veiculos,veiculos_por_100k_hab,populacao_2020,idhm,idhm_r,idhm_e
2020,AM,02330,Fonte Boa,23723,8.090030241620303,1301605,Norte,1,5.8806,17005,0.53,0.518,0.4
2020,AM,02356,Humaitá,46700,7.0070144941606,1301704,Norte,1,1.7811,56144,0.605,0.621,0.451
2020,AM,02372,Santa Isabel Do Rio Negro,9524,9.504631469177468,1303601,Norte,0,0,25865,0.479,0.461,0.323
2020,AM,02399,Ipixuna,17281,5.442563445840597,1301803,Norte,0,0,30436,0.481,0.476,0.302
2020,AM,02410,Itacoatiara,100655,11.002810188341941,1301902,Norte,1,0.9737,102701,0.644,0.618,0.534
2020,AM,02437,Itapiranga,13092,6.695008427719417,1302009,Norte,0,0,9230,0.654,0.594,0.594
2020,AM,02453,Japurá,7521,6.37626285711838,1302108,Norte,0,0,2251,0.522,0.552,0.345
2020,AM,02470,Juruá,10259,5.7549485865153525,1302207,Norte,0,0,15106,0.522,0.538,0.376
2020,AM,02496,Jutaí,20471,5.502955038155392,1302306,Norte,0,0,13886,0.516,0.528,0.34
2020,AM,02518,Lábrea,35583,4.950077241971459,1302405,Norte,0,0,46882,0.531,0.538,0.374
2020,AM,02534,Manacapuru,105637,7.27241652985677,1302504,Norte,2,2.0304,98502,0.614,0.604,0.481
2020,AM,02550,Manaus,910717,1.9987003768110574,1302603,Norte,137,6.1723,2219580,0.737,0.738,0.658
2020,AM,02577,Manicoré,46239,8.091338463630683,1302702,Norte,1,1.7673,56583,0.582,0.58,0.456
2020,AM,02593,Maraã,14355,8.914175430220974,1302801,Norte,0,0,18261,0.498,0.466,0.348
2020,AM,02615,Maués,50908,6.288325555740933,1302900,Norte,2,3.0750,65040,0.588,0.549,0.464
2020,AM,02631,Nhamundá,22945,7.163074793584371,1303007,Norte,0,0,21443,0.586,0.513,0.503
2020,AM,02658,Nova Olinda Do Norte,23661,5.882180726012859,1303106,Norte,0,0,38026,0.558,0.541,0.412
2020,AM,02674,Novo Aripuanã,19234,6.784919948063316,1303304,Norte,0,0,26046,0.554,0.532,0.421
2020,AM,02690,Parintins,98455,6.367575359109439,1303403,Norte,14,12.1356,115363,0.658,0.589,0.605
2020,AM,02712,Pauini,15816,5.894535944469464,1303502,Norte,0,0,19522,0.496,0.531,0.317
2020,AM,02739,Santo Antônio Do Içá,25010,5.5554862785195125,1303700,Norte,0,0,21243,0.49,0.438,0.353
2020,AM,02755,São Paulo De Olivença,14694,2.489886854416803,1303908,Norte,0,0,40073,0.521,0.471,0.386
2020,AM,02771,Silves,5993,7.710279908368098,1304005,Norte,0,0,9230,0.632,0.546,0.584
2020,AM,02798,Tapauá,19996,5.410538620288891,1304104,Norte,0,0,17015,0.502,0.512,0.355
2020,AM,02810,Tefé,66217,7.2974368925330575,1304203,Norte,5,8.3967,59547,0.639,0.637,0.511
2020,AM,02836,São Gabriel Da Cachoeira,42760,7.912053156992197,1303809,Norte,1,2.1597,46303,0.609,0.61,0.476
2020,AM,02852,Urucará,18772,5.909675347186818,1304302,Norte,0,0,16130,0.62,0.551,0.575
2020,AM,02879,Urucurituba,20106,4.958213834714887,1304401,Norte,0,0,23585,0.588,0.538,0.487
2020,AM,02895,Alvarães,17375,6.307023905031445,1300029,Norte,0,0,16220,0.527,0.499,0.377
2020,AM,02917,Amaturá,5156,2.9564923792100624,1300060,Norte,0,0,11736,0.56,0.499,0.455
2020,AM,02933,Anamã,12963,4.601786608460401,1300086,Norte,0,0,13956,0.594,0.537,0.526
2020,AM,02950,Beruri,20918,9.128167087726029,1300631,Norte,0,0,20093,0.506,0.512,0.346
2020,AM,02976,Boa Vista Do Ramos,17811,5.3998549538366225,1300680,Norte,0,0,19626,0.565,0.496,0.484
